instance,run_type,run,n_jobs,n_tools,magazine_size,variation,n_switches,run_time,author
cram_30_40_25_3,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,3,31,62.059,cram
cram_30_40_25_3,RANDOM-SA-SWAP-SW-SEEDNO,0,30,40,25,3,33,62.717,cram
cram_30_40_25_3,RANDOM-SA-SWAP-SW-SEEDNO,2,30,40,25,3,35,56.255,cram
cram_30_40_25_3,RANDOM-SA-SWAP-SW-SEEDNO,3,30,40,25,3,29,44.566,cram
cram_30_40_25_3,RANDOM-SA-SWAP-SW-SEEDNO,4,30,40,25,3,29,32.862,cram
cram_30_40_25_4,TOOLSEQ-SD,0,30,40,25,4,42,2.216,cram
cram_30_40_25_4,TOOLSEQ-SD,1,30,40,25,4,42,1.914,cram
cram_30_40_25_4,TOOLSEQ-SD,3,30,40,25,4,42,1.93,cram
cram_30_40_25_4,TOOLSEQ-SD,2,30,40,25,4,42,1.895,cram
cram_30_40_25_4,TOOLSEQ-SD,4,30,40,25,4,42,1.953,cram
cram_30_40_25_4,ORDERED-SD,4,30,40,25,4,52,1.637,cram
cram_30_40_25_4,ORDERED-SD,0,30,40,25,4,52,1.695,cram
cram_30_40_25_4,ORDERED-SD,1,30,40,25,4,52,1.721,cram
cram_30_40_25_4,ORDERED-SD,3,30,40,25,4,52,1.621,cram
cram_30_40_25_4,ORDERED-SD,2,30,40,25,4,52,1.674,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEED7,2,30,40,25,4,36,27.252,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEED7,3,30,40,25,4,36,27.684,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEED7,1,30,40,25,4,36,28.611,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEED7,0,30,40,25,4,36,34.478,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEED7,4,30,40,25,4,36,27.788,cram
cram_30_40_25_4,RANDOM-SD,4,30,40,25,4,53,1.85,cram
cram_30_40_25_4,RANDOM-SD,2,30,40,25,4,53,1.981,cram
cram_30_40_25_4,RANDOM-SD,3,30,40,25,4,53,1.857,cram
cram_30_40_25_4,RANDOM-SD,1,30,40,25,4,53,2.119,cram
cram_30_40_25_4,RANDOM-SD,0,30,40,25,4,53,1.717,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,4,35,64.889,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEEDNO,0,30,40,25,4,34,53.578,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEEDNO,2,30,40,25,4,36,60.489,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEEDNO,3,30,40,25,4,33,60.303,cram
cram_30_40_25_4,RANDOM-SA-SWAP-SW-SEEDNO,4,30,40,25,4,28,35.639,cram
cram_30_40_25_5,TOOLSEQ-SD,0,30,40,25,5,43,2.013,cram
cram_30_40_25_5,TOOLSEQ-SD,1,30,40,25,5,43,1.927,cram
cram_30_40_25_5,TOOLSEQ-SD,3,30,40,25,5,43,1.899,cram
cram_30_40_25_5,TOOLSEQ-SD,2,30,40,25,5,43,1.913,cram
cram_30_40_25_5,TOOLSEQ-SD,4,30,40,25,5,43,1.934,cram
cram_30_40_25_5,ORDERED-SD,4,30,40,25,5,57,1.817,cram
cram_30_40_25_5,ORDERED-SD,0,30,40,25,5,57,2.002,cram
cram_30_40_25_5,ORDERED-SD,1,30,40,25,5,57,1.83,cram
cram_30_40_25_5,ORDERED-SD,3,30,40,25,5,57,1.781,cram
cram_30_40_25_5,ORDERED-SD,2,30,40,25,5,57,1.809,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEED7,2,30,40,25,5,40,29.458,cram
